country	time	s_hat	s_var	C_alpha_vac	C_wt_vac	C_alpha_wt	C_wt_wt	C_alpha_alpha	C_wt_alpha	new_cases_1	new_cases_2	R_inst	Fabs
GERMANY	44197	0.073	9.62e-05	0.0	0.0	0.015096222369290294	0.015096222369290294	0.0001491742408710685	0.00013033693721545904	0.00023468708707078813	0.0002224778928833426	0.9771034241588812	-0.003816095973519798
GERMANY	44204	0.067	5.64e-05	0.0	0.0	0.016129508080433806	0.016129508080433806	0.00026268032332988625	0.00022928582939932168	0.0002323348101347373	0.0001869757935310885	0.9069141501379034	-0.01551430831034943
GERMANY	44211	0.069	2.27e-05	0.0	0.0	0.016992144171352898	0.016992144171352898	0.0004014492942533658	0.0003493406941733018	0.0002224778928833426	0.0001562778558690778	0.8486319191914632	-0.025228013468089467
GERMANY	44218	0.082	8.7e-06	0.0022023077728580624	0.0023038422508068214	0.017465604607023368	0.017465604607023368	0.0005304961907136201	0.000459419414895597	0.0001869757935310885	0.00012864732819642275	0.8397552607391263	-0.026707456543478957
GERMANY	44225	0.111	4.2e-06	0.005667921895885218	0.005940670875050551	0.01779397278504352	0.01779397278504352	0.000690203573212964	0.0005952165866753982	0.0001562778558690778	0.00010474060049419405	0.8285076878862768	-0.028582052018953863
JAPAN	44222	0.065	2.58e-05	0.0	0.0	0.0020689324424920776	0.0020689324424920776	1.4068200173329874e-05	1.2222482455533414e-05	4.2179707570317236e-05	2.0427705759419228e-05	0.6892655126140685	-0.051789081230988576
JAPAN	44229	0.058	1.69e-05	0.0	0.0	0.0021769885043751063	0.0021769885043751063	1.951157808447846e-05	1.6888619364357553e-05	3.0254243127281998e-05	1.3682125872040232e-05	0.6599087957771783	-0.056681867370470276
JAPAN	44236	0.056	1.26e-05	0.0	0.0	0.0022248486599381386	0.0022248486599381386	2.442191584742387e-05	2.1028628615847004e-05	2.0427705759419228e-05	1.033710251222848e-05	0.7080775015697655	-0.04865374973837242
JAPAN	44243	0.058	9.6e-06	0.0	0.0	0.002236418424580532	0.002236418424580532	2.870452651123161e-05	2.4563501738200424e-05	1.3682125872040232e-05	8.624640951437152e-06	0.8022284427605815	-0.03296192620656974
JAPAN	44250	0.069	9.6e-06	0.0	0.0	0.002233710529101515	0.002233710529101515	3.371770484847481e-05	2.8697198127204743e-05	1.033710251222848e-05	8.074975923651753e-06	0.894155833838581	-0.017640694360236502
JAPAN	44257	0.097	8.4e-06	0.0	0.0	0.0022167009354333404	0.0022167009354333404	3.9531205453021984e-05	3.348623406990416e-05	8.624640951437152e-06	8.74704058649044e-06	1.006039467675073	0.0010065779458455011
TX	44223	0.103	2.39e-05	0.01018869344288152	0.010705776310297182	0.04772197721930106	0.04772197721930106	0.00028706178561348873	0.00025212638731255516	0.0006650327138169083	0.0005507367259548251	0.9191802787749692	-0.01346995353750512
TX	44230	0.084	1e-05	0.01769815128314958	0.01861813655150932	0.05009981182223468	0.05009981182223468	0.0006751257603067105	0.0005922682583632061	0.0006539283305803578	0.00033808937996736386	0.7172768024779259	-0.047120532920345674
