country	time	s_hat	s_var	C_omi_vac	C_delta_vac	C_omi_bst	C_delta_bst	C_omi_alpha	C_delta_alpha	C_omi_delta	C_delta_delta	C_omi_omi	C_delta_omi	new_cases_1	new_cases_2	R_inst	Fabs
ITALY	44547	0.164	2.37e-05	0.013969746547972272	0.21999299938022857	0.21411290494734217	0.22832301479092998	4.7935988556896824e-05	0.001114276399392254	0.0008907804569606912	0.012714314499420365	0.00029621714860406947	3.1083838318818464e-05	0.0003068705661033911	0.0009334355394338591	1.2701654226898258	0.07946041843818409
ITALY	44554	0.133	6.4e-06	0.012578964525091099	0.20001395154319146	0.2559558644249482	0.27365840167433386	4.3461627653217956e-05	0.0010142554733173943	0.001044052875595086	0.014579676405277362	0.001179497376424538	0.0001244415502391277	0.0004524361898716705	0.0017939155154792358	1.3345379515709375	0.09839351516792279
ITALY	44561	0.112	5.6e-06	0.011307329791810098	0.18023812438339798	0.29249358987276713	0.3137309912928006	3.949347932756872e-05	0.0009236018531836648	0.0013245457095794756	0.017701948345241584	0.004508863481213918	0.00047651997302663996	0.0009334355394338591	0.002639585008100994	1.2524512341628202	0.07425036298906477
ITALY	44568	0.102	8.1e-06	0.010130235777331787	0.15887269086257028	0.3327892749321759	0.35807184741181686	3.589927351823765e-05	0.0008408841229386871	0.001716873955135373	0.022066038520910564	0.014265748754129953	0.0014950892980205392	0.0017939155154792358	0.002981849517693302	1.1234061770115475	0.03629593441516103
ITALY	44575	0.094	1.33e-05	0.009267073854211095	0.1381217994820063	0.38603697741980025	0.4163852672849142	3.247138288107748e-05	0.000763911106333842	0.0019299905513741739	0.02501502015184715	0.027969453115060543	0.0028579683398029417	0.002639585008100994	0.002753888525730782	1.0102952513313712	0.003028015097462147
ITALY	44582	0.083	2.47e-05	0.008459194795823832	0.11992491769957668	0.43409273817723115	0.4697104518235762	2.935114879067952e-05	0.0006935558459842275	0.0019868274647179044	0.02663708910756273	0.04396093899314004	0.004362260172697148	0.002981849517693302	0.0021839398998746945	0.9243710769916339	-0.022243800884813553
ITALY	44589	0.071	4.61e-05	0.007856788638465898	0.10500818941346605	0.4741680991048733	0.5151140234278382	2.6529960716448784e-05	0.0006294563936499414	0.001920424452367807	0.02711023771710681	0.058754038923798935	0.005625454173439887	0.002753888525730782	0.0015466714326519099	0.8598935860693101	-0.0412077688031441
ITALY	44596	0.059	0.0001025	0.007680867334030997	0.09618693357298388	0.5016173694716182	0.5477122490426258	2.398059733042061e-05	0.0005711047484548922	0.001797159336782415	0.026966790013331635	0.06931805599545475	0.006344608962356335	0.0021839398998746945	0.001097441794675905	0.8328781706630053	-0.049153479216763156
BELGIUM	44540	0.146	2.85e-05	0.012708495418582239	0.21838277062460165	0.20887583385977188	0.2234983692267659	7.450331273611756e-05	0.001712867933058265	0.004541426032755748	0.056685638231245124	0.0008746079018939358	9.221749974084414e-05	0.0014008919325341623	0.0006652577204196529	0.8191467404339542	-0.05319213516648407
BELGIUM	44547	0.123	9.9e-06	0.011181179077736688	0.1925774693831497	0.260555360384779	0.27914875207873724	6.738105744921937e-05	0.0015596454932975841	0.004590604648686931	0.05987483990790115	0.0015768757285199	0.00016064946604318222	0.0009990195064402882	0.0007072834345073954	0.9161310290883207	-0.024667344385788024
