time	x_wt	x_ALPHA	x_BA.1	x_BA.1.1	x_BA.2	x_BA.2.12.1	x_BA.2.75	x_BA.2.75.2	x_BA.4	x_BA.4.6	x_BA.5	x_BA.5.9	x_BETA	x_BF.7	x_BJ.1	x_BM.1.1	x_BN.1	x_BQ.1	x_BQ.1.1	x_CH.1	x_CH.1.1	x_DELTA	x_EPSILON	x_GAMMA	x_IOTA	x_MU	x_OMICRON	x_XBB	x_XBB.1.5	R_wt	R_vac	R_boost	R_biv	R_alpha	R_delta	R_omi	R_ba1	R_ba2	R_ba45	R_bq1	R_xbb	tot_cases	vac	boost	bivalent	tot_cases_rate	vac_rate	boost_rate	bivalent_rate	C_VAC_ALPHA	C_VAC_DELTA	C_VAC_OMICRON	C_VAC_WT	C_VAC0_DELTA	C_VAC0_OMICRON	C_BOOST_ALPHA	C_BOOST_BA.1	C_BOOST_BA.2	C_BOOST_BA.2.75	C_BOOST_BA.2.75.2	C_BOOST_BA.4.6	C_BOOST_BA.4/5	C_BOOST_BA.5.9	C_BOOST_BF.7	C_BOOST_BJ.1	C_BOOST_BM.1.1	C_BOOST_BN.1	C_BOOST_BQ.1	C_BOOST_BQ.1.1	C_BOOST_CH.1	C_BOOST_DELTA	C_BOOST_OMICRON	C_BOOST_WT	C_BOOST_XBB	C_BOOST_XBB.1.5	C_BIVALENT_BA.2	C_BIVALENT_BA.2.75.2	C_BIVALENT_BA.4.6	C_BIVALENT_BA.4/5	C_BIVALENT_BF.7	C_BIVALENT_BQ.1	C_BIVALENT_BQ.1.1	C_BIVALENT_CH.1	C_BIVALENT_XBB	C_BIVALENT_XBB.1.5	C_RECOV_ALPHA_ALPHA	C_RECOV_ALPHA_DELTA	C_RECOV_ALPHA_OMICRON	C_RECOV_ALPHA_WT	C_RECOV_DELTA_ALPHA	C_RECOV_DELTA_DELTA	C_RECOV_DELTA_OMICRON	C_RECOV_DELTA_WT	C_RECOV_OMI_ALPHA	C_RECOV_OMI_BA.1	C_RECOV_OMI_DELTA	C_RECOV_OMI_WT	C_RECOV_BA1_ALPHA	C_RECOV_BA1_BA.1	C_RECOV_BA1_BA.2	C_RECOV_BA1_BA.2.75	C_RECOV_BA1_BA.2.75.2	C_RECOV_BA1_BA.4.6	C_RECOV_BA1_BA.4/5	C_RECOV_BA1_BF.7	C_RECOV_BA1_BJ.1	C_RECOV_BA1_BM.1.1	C_RECOV_BA1_BN.1	C_RECOV_BA1_BQ.1	C_RECOV_BA1_BQ.1.1	C_RECOV_BA1_CH.1	C_RECOV_BA1_DELTA	C_RECOV_BA1_XBB	C_RECOV_BA1_XBB.1.5	C_RECOV_BA2_BA.1	C_RECOV_BA2_BA.2	C_RECOV_BA2_BA.2.75	C_RECOV_BA2_BA.2.75.2	C_RECOV_BA2_BA.4.6	C_RECOV_BA2_BA.4/5	C_RECOV_BA2_BF.7	C_RECOV_BA2_BJ.1	C_RECOV_BA2_BM.1.1	C_RECOV_BA2_BN.1	C_RECOV_BA2_BQ.1	C_RECOV_BA2_BQ.1.1	C_RECOV_BA2_CH.1	C_RECOV_BA2_XBB	C_RECOV_BA2_XBB.1.5	C_RECOV_BA45_BA.1	C_RECOV_BA45_BA.2	C_RECOV_BA45_BA.2.75	C_RECOV_BA45_BA.2.75.2	C_RECOV_BA45_BA.4.6	C_RECOV_BA45_BA.4/5	C_RECOV_BA45_BA.5.9	C_RECOV_BA45_BF.7	C_RECOV_BA45_BJ.1	C_RECOV_BA45_BM.1.1	C_RECOV_BA45_BN.1	C_RECOV_BA45_BQ.1	C_RECOV_BA45_BQ.1.1	C_RECOV_BA45_CH.1	C_RECOV_BA45_XBB	C_RECOV_BA45_XBB.1.5	C_RECOV_BQ1_BA.4/5	C_RECOV_BQ1_BQ.1	C_RECOV_BQ1_CH.1	C_RECOV_BQ1_XBB	C_RECOV_XBB_XBB
43832	0.949593881046365	0.0	0.0	0.007615171061846384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04279087886985952	0.0	6.90219290658516e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43833	0.958508461980215	0.0	0.0	0.008804376709114442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032686768896379774	0.0	3.924142907350857e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43834	0.9628064045699097	0.0	0.0	0.010174066608685708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027017620514867217	0.0	1.9083065373420843e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43835	0.966891967087289	0.0	0.0	0.01089255650693224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022208057858183066	0.0	7.418547595643853e-06	0.0	0.0	0.0	0.0	1.555877195219979e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43836	0.9706105329466026	0.0	0.0	0.01100704186577439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018358745123310063	0.0	2.3680064312988546e-05	0.0	0.0	0.0	0.0	1.5533671198735734e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43837	0.9738519922072423	1.3057660088255438e-18	0.0	0.010667060532115807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015417366246749196	0.0	6.358101389273161e-05	0.0	0.0	0.0	0.0	1.5508287065955813e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43838	0.9765642406559248	9.592826101392486e-17	0.0	0.010038866768256584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013250288989361649	0.0	0.00014660358645688444	0.0	0.0	0.0	0.0	1.5482617432817988e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	1.7497808184142968e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43839	0.9787469203819948	4.965665831092623e-15	0.0	0.00926180524589498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011695814098259257	0.0	0.00029546027384588384	0.0	0.0	0.0	0.0	1.54566601908047e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.390518497356224e-08	0.0	0.0	0.0	3.390518497356224e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43840	0.9804419735674159	1.8665850119373818e-13	0.0	0.008438107796828647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01059132984672019	0.0	0.0005285887888486304	0.0	0.0	0.0	0.0	3.001959099292041e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.390518497356224e-08	0.0	0.0	0.0	3.390518497356224e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43841	0.9817240491597049	5.177245432653952e-12	0.0	0.007637338507450285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009787141499699661	0.0	0.0008514708279680202	0.0	0.0	0.0	0.0	2.9969515741843615e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.58167010766556e-08	0.0	0.0	0.0	1.8318892892512633e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
