country	FLAI_time	t1	t2	s_hat	s_var	ba2_count_t1	ba2_count_t2	ba45_count_t1	ba45_count_t2	tmin	tmax	x_ba2	x_ba45
BELGIUM	44690	04/25/2022	05/25/2022	0.114	4.73e-05	2561	1409	28	472	44675	44780	0.9292307639766305	0.06323931139827706
BELGIUM	44697	05/02/2022	06/01/2022	0.107	1.89e-05	2383	1183	71	861	44675	44780	0.8704433331392673	0.12314234090639843
BELGIUM	44704	05/09/2022	06/08/2022	0.103	1.05e-05	2153	1055	132	1408	44675	44780	0.7645356165285625	0.22717441672360408
BELGIUM	44711	05/16/2022	06/15/2022	0.099	7e-06	1793	869	229	2160	44675	44780	0.5933262634030652	0.3925892113866035
BELGIUM	44718	05/23/2022	06/22/2022	0.094	6.1e-06	1501	608	396	2656	44675	44780	0.4399264750601996	0.537974023648722
BELGIUM	44725	05/30/2022	06/29/2022	0.087	5.7e-06	1230	377	736	3033	44675	44780	0.29524972956942763	0.6739280763041411
BELGIUM	44732	06/06/2022	07/06/2022	0.085	7.4e-06	1090	221	1223	3152	44675	44780	0.19065384315965617	0.7669803171701387
BELGIUM	44739	06/13/2022	07/13/2022	0.08	1.08e-05	934	131	1954	3019	44675	44780	0.11301747911846416	0.8314567465370875
BELGIUM	44746	06/20/2022	07/20/2022	0.076	1.62e-05	685	81	2542	2886	44675	44780	0.0653460211011586	0.8641645346503679
BELGIUM	44753	06/27/2022	07/27/2022	0.069	2.82e-05	434	47	2926	2477	44675	44780	0.040639118197428055	0.8721873254258624
BELGIUM	44760	07/04/2022	08/03/2022	0.058	3.98e-05	258	31	3167	2126	44675	44780	0.026066684859401994	0.8716789732933415
CA	44695	04/30/2022	05/30/2022	0.095	8.4e-06	13203	15382	140	2771	44680	44796	0.9451986663675878	0.04641481902477433
CA	44702	05/07/2022	06/06/2022	0.089	3.5e-06	14948	13320	331	4224	44680	44796	0.9054750010046599	0.08365874055073222
CA	44709	05/14/2022	06/13/2022	0.085	1.9e-06	16325	10616	730	6113	44680	44796	0.8443238929192516	0.1403463156771511
CA	44716	05/21/2022	06/20/2022	0.085	1.1e-06	16417	8349	1388	9020	44680	44796	0.7549806523078466	0.2208797083513998
CA	44723	05/28/2022	06/27/2022	0.084	8e-07	15739	6452	2413	12352	44680	44796	0.6310484001486109	0.3320578632066672
CA	44730	06/04/2022	07/04/2022	0.083	6e-07	14043	5097	3792	16387	44680	44796	0.47491458531253916	0.47123657041870975
CA	44737	06/11/2022	07/11/2022	0.079	6e-07	11349	3759	5467	19416	44680	44796	0.33680646700490846	0.5945842136627564
CA	44744	06/18/2022	07/18/2022	0.074	8e-07	8962	2465	8152	20398	44680	44796	0.2294796598013531	0.689555654461317
CA	44751	06/25/2022	07/25/2022	0.069	1.1e-06	6954	1474	11319	19003	44680	44796	0.15668246567245434	0.7541033361023798
CA	44758	07/02/2022	08/01/2022	0.067	1.8e-06	5430	792	15229	16322	44680	44796	0.1032566965287371	0.8018604563949839
CA	44765	07/09/2022	08/08/2022	0.068	3.2e-06	4180	423	18774	14484	44680	44796	0.0688478777557184	0.8327359581232399
CA	44772	07/16/2022	08/15/2022	0.068	5.3e-06	2791	246	20333	13637	44680	44796	0.04454172502897184	0.8550040842212542
CA	44779	07/23/2022	08/22/2022	0.069	7.4e-06	1730	146	19645	13125	44680	44796	0.027354905026375578	0.8721126592525197
CANADA	44707	05/12/2022	06/11/2022	0.115	1.36e-05	8173	4759	87	1599	44692	44793	0.9218898300752434	0.0695905392692138
CANADA	44714	05/19/2022	06/18/2022	0.106	6.1e-06	7415	4061	201	2626	44692	44793	0.8547247528557322	0.13461455201154449
CANADA	44721	05/26/2022	06/25/2022	0.098	3.6e-06	6403	3172	427	3965	44692	44793	0.7538590255512152	0.23021940597246995
CANADA	44728	06/02/2022	07/02/2022	0.093	2.4e-06	5634	2399	807	5537	44692	44793	0.6120516974823468	0.3611652323906492
CANADA	44735	06/09/2022	07/09/2022	0.088	1.9e-06	4959	1695	1376	6673	44692	44793	0.44861111310738994	0.5106904220222569
CANADA	44742	06/16/2022	07/16/2022	0.081	2e-06	4276	1077	2303	6543	44692	44793	0.30325737724985147	0.6442290478353774
CANADA	44749	06/23/2022	07/23/2022	0.075	2.8e-06	3428	585	3551	5705	44692	44793	0.20123136996132093	0.7389676637461806
CANADA	44756	06/30/2022	07/30/2022	0.074	4.9e-06	2604	275	5085	4928	44692	44793	0.13863028698529772	0.793543427684568
CANADA	44763	07/07/2022	08/06/2022	0.08	1.01e-05	1892	132	6467	4900	44692	44793	0.0916953953118582	0.8295483550549482
