country	time	s_hat	s_var	C_ba45_bst	C_ba2_bst	C_ba45_ba1	C_ba2_ba1	C_ba45_ba2	C_ba2_ba2	C_ba45_ba45	C_ba2_ba45
BELGIUM	44690	0.114	4.73e-05	0.3125683483993538	0.4389077923742557	0.016131317545528958	0.03797249094063921	0.02966180812124651	0.04463229446878636	0.0001264145338406981	0.00013695262702419857
BELGIUM	44697	0.107	1.89e-05	0.29792081630865275	0.42621501213423774	0.014825965382392657	0.03565290408206304	0.029608748854584248	0.04537148297230757	0.0002179201664936562	0.00023471830152722875
BELGIUM	44704	0.103	1.05e-05	0.28369902120057555	0.4134739986701419	0.013606325421902338	0.03339576797097824	0.02923546192646789	0.0456813920378267	0.000370792709950313	0.0003980444211301079
BELGIUM	44711	0.099	7e-06	0.27109535479093283	0.40195045213680175	0.012470706267253853	0.031211002321786748	0.02857226954037242	0.04558704711402208	0.0005983749385294895	0.0006414682071096932
BELGIUM	44718	0.094	6.1e-06	0.2618870358044578	0.393564565318608	0.011416436702391931	0.029106397978798507	0.027805742035329237	0.045314853132613284	0.0010157738379029434	0.0010873707520316126
BELGIUM	44725	0.087	5.7e-06	0.2540912936458736	0.3861821257767442	0.01043994217118691	0.02708753055758915	0.02693360296777903	0.04485374905439824	0.0016927508807458133	0.0018107947844318367
BELGIUM	44732	0.085	7.4e-06	0.24459907541759232	0.376452401208403	0.009537484046400063	0.02515881095307058	0.025992939654663122	0.04424435685090739	0.002839033295412115	0.0030357063882141323
BELGIUM	44739	0.08	1.08e-05	0.2337378674801257	0.36472591880795585	0.008705275582817803	0.023323584122855713	0.024979497262562333	0.04347504883068294	0.0046897529040209485	0.00501390684129245
BELGIUM	44746	0.076	1.62e-05	0.22165855321391828	0.35116873759704686	0.007939141106318976	0.021583520621417766	0.023896881240269608	0.042545422959247806	0.007343279620539171	0.007854206735045343
BELGIUM	44753	0.069	2.82e-05	0.20946125665538926	0.3369840992139437	0.007234988618078266	0.019939366062070054	0.02274340048368045	0.041449419767254636	0.010591253182362637	0.011341727645956496
BELGIUM	44760	0.058	3.98e-05	0.197706226490687	0.3228048106255912	0.006588538019971733	0.01839050934484013	0.02152723250658798	0.040194356632600486	0.013803580157408747	0.014813954472821324
CA	44695	0.095	8.4e-06	0.18654125830813706	0.25971622750646856	0.01519010576966296	0.03630971594036686	0.029659091445262513	0.045206336377013816	0.00018760790340871167	0.00020231820864564188
CA	44702	0.089	3.5e-06	0.17969901233661614	0.25380275779062117	0.013946111822676244	0.03403364761580245	0.029373722146862395	0.04563585066671887	0.0003212079994504059	0.0003450324086698036
CA	44709	0.085	1.9e-06	0.17353705776168993	0.24836176477333582	0.012786740483727806	0.031827351951155956	0.028782307404518318	0.04564440042139034	0.0005265383493343171	0.000564563992069613
CA	44716	0.085	1.1e-06	0.16697441993109574	0.24222553443431008	0.0117095636365308	0.029699191636790072	0.02804039328018747	0.04541759064224525	0.0008846949503650642	0.000947188130264989
CA	44723	0.084	8e-07	0.16097407160695099	0.2364289640461375	0.010711223955714569	0.02765532801244023	0.02719715416339708	0.04500956780817273	0.0014922129028757895	0.00159608320545878
CA	44730	0.083	6e-07	0.1548836093665651	0.23026966826854675	0.009787968651400728	0.02570041730258417	0.026263714158707083	0.044427548837081735	0.00247612584855661	0.0026475429566491944
CA	44737	0.079	6e-07	0.1487091448757325	0.22375754598632175	0.008936107889187774	0.023838249611160257	0.025270181032565103	0.04370332983554834	0.004093780717248808	0.004376384230864585
CA	44744	0.074	8e-07	0.14295999769194948	0.2174537526146688	0.008151501072153887	0.02207085543310994	0.024203222246246436	0.04281475292657455	0.006486924564956003	0.006937003248395374
CA	44751	0.069	1.1e-06	0.1369367178777125	0.21061428821355557	0.007430093913153729	0.02039934378848681	0.023072403000357056	0.04176975598821126	0.009617662657530425	0.010294695115449113
CA	44758	0.067	1.8e-06	0.1309075953940568	0.20354167335838824	0.006767593484881801	0.018823381189056364	0.021876204384427007	0.04056303904607927	0.012949695831217453	0.013886954174220112
CA	44765	0.068	3.2e-06	0.12502681305449706	0.1964167514034754	0.0061598743612780935	0.017341878683633686	0.02062660625407118	0.03920757511770552	0.015721112828569236	0.01690907358770248
CA	44772	0.068	5.3e-06	0.11937171760262678	0.1893434246023109	0.005603126486837023	0.01595329632120661	0.019369657832816634	0.03776142467093267	0.017953161302252885	0.019381768834269432
CA	44779	0.069	7.4e-06	0.11358643891226537	0.18195585135007908	0.005093754313225037	0.014655554702854073	0.018128549058901017	0.03625538739951014	0.019599100427810635	0.021253453678294124
CANADA	44707	0.115	1.36e-05	0.287822375074085	0.3915477631633274	0.013109405626439476	0.032449956671810526	0.028948231304791457	0.045642050461442346	0.00045248627169152994	0.0004854453501300581
CANADA	44714	0.106	6.1e-06	0.2862780928217293	0.39279732651856536	0.012009059562161098	0.030298764242946825	0.02822908835743301	0.045457695266518335	0.0007416320634449584	0.0007945876640576867
CANADA	44721	0.098	3.6e-06	0.2774867340465286	0.38593637336574	0.010988545347925784	0.028230247983164966	0.02738979819975183	0.04507049088445972	0.0012092585198133303	0.0012947247818993139
CANADA	44728	0.093	2.4e-06	0.2685228109641355	0.3785105405210085	0.010044283803484096	0.026249605276032612	0.026522280645964333	0.04458993991850725	0.0021181787085409074	0.002265276492982207
CANADA	44735	0.088	1.9e-06	0.25934656628251684	0.3704596480870062	0.0091724314325965	0.02436066065617997	0.025546364110500257	0.0439074833115203	0.0034943297426866084	0.0037362997998473895
CANADA	44742	0.081	2e-06	0.24903583463188592	0.3607805761415686	0.008369005170587989	0.02256600019518119	0.024499421276387802	0.04306514857827091	0.005609912429112931	0.005999598110697486
CANADA	44749	0.075	2.8e-06	0.24081121729075022	0.35292934446335206	0.007629985664316795	0.020867092203615618	0.0233951198696862	0.04207574888411516	0.00856149320576226	0.009162396536196264
CANADA	44756	0.074	4.9e-06	0.23318019507782003	0.345324024165464	0.006951095304957253	0.01926392879851	0.022220991602828925	0.04091982742449281	0.0119279680482436	0.012784546110714029
CANADA	44763	0.08	1.01e-05	0.22836341465754473	0.3403720938710995	0.006328120318900116	0.017755565732489802	0.020984288311387957	0.039604006352603104	0.014900690508346482	0.016013205687184843
CANADA	44770	0.081	1.33e-05	0.22749784817796054	0.3393346404771392	0.005757188345160839	0.016340629526488664	0.019727658924265503	0.038181432103296	0.017323967498286227	0.018682306188161062
CANADA	44777	0.081	2e-05	0.22048458521192027	0.33136682599119965	0.005234643430698331	0.015017188139199701	0.018480223247059727	0.0366899953617	0.01913480490217628	0.02072326999395558
FINLAND	44701	0.119	8.65e-05	0.3014228868258836	0.40901264067588183	0.014118539497641726	0.03435465219252669	0.029412730921890062	0.04557380698549159	0.0002949992929227633	0.0003170633655861789
FINLAND	44708	0.1	3.12e-05	0.299876550527349	0.41057669456083157	0.012947249250044967	0.03213789807199728	0.02887606788807225	0.04565737733063123	0.0004919105329747994	0.0005275221898613086
FINLAND	44715	0.093	1.58e-05	0.28886916462643036	0.40158540087334893	0.011858508133124133	0.02999813497768194	0.028139144228676888	0.045443737106440125	0.0008122041516158323	0.0008698433229772595
FINLAND	44722	0.089	1.41e-05	0.27869188864988587	0.3930775383304691	0.010849119154879473	0.027941895538008712	0.027299314416916822	0.045048005326421836	0.0013554718495111533	0.0014503476176571004
FINLAND	44729	0.082	1.15e-05	0.2714629345691216	0.38733114401480995	0.009915391024221223	0.025974066824452784	0.026397236569978527	0.04451478925150023	0.0023049923301345604	0.0024646141266290327
FINLAND	44736	0.076	1.2e-05	0.26321877388484205	0.3800720042015825	0.00905358006737993	0.024098493821390937	0.025411977463963367	0.04381082450461817	0.0037951779158567098	0.00405739619723794
FINLAND	44743	0.069	1.44e-05	0.2519799325954275	0.36914408453122094	0.008259610034939347	0.022317461946874975	0.024354152609741206	0.04294430251838207	0.0060537557343217155	0.006473744265882095
