time_cut_off	date_cut_off	data_points	gamma_inf_new	b_new
44689	2022-05-09	2	0.6700304641644428	2.4050772251855514
44690	2022-05-10	3	0.6832530113929401	2.452539615179799
44691	2022-05-11	4	0.695956168954377	2.498137653736232
44692	2022-05-12	5	0.7068475128579654	2.5372321793961214
44693	2022-05-13	8	0.7208426249867628	2.58746769441388
44694	2022-05-14	8	0.7335751499841153	2.633171147507503
44695	2022-05-15	9	0.7467538602331268	2.6804761844758493
44696	2022-05-16	12	0.7542443071749625	2.707363175903523
44697	2022-05-17	14	0.7668842525953914	2.752734314208663
44698	2022-05-18	15	0.7781525568371603	2.793181940619406
44699	2022-05-19	16	0.7903178456382735	2.8368492969534924
44700	2022-05-20	19	0.8040805527012962	2.8862505929907614
44701	2022-05-21	19	0.8163222654264042	2.9301922733278443
44702	2022-05-22	21	0.8295868580223577	2.977805585348927
44703	2022-05-23	25	0.8379117919002117	3.0076879712129356
44704	2022-05-24	27	0.8490933383498386	3.047824180156641
44705	2022-05-25	28	0.8596475757262623	3.085708660491268
44706	2022-05-26	29	0.8718598617285336	3.1295447134805037
44707	2022-05-27	32	0.8835792524281727	3.171611516666688
44708	2022-05-28	33	0.8969525578124227	3.21961505370768
44709	2022-05-29	35	0.9090105987329782	3.2628974433144697
44710	2022-05-30	39	0.9162921916248918	3.289034752234078
44711	2022-05-31	41	0.9263089992161196	3.324990126049462
44712	2022-06-01	42	0.9362590893974722	3.360706017435917
44713	2022-06-02	43	0.9467868102083428	3.3984953164447496
44714	2022-06-03	46	0.9556233595324715	3.430214148147713
44715	2022-06-04	47	0.9677295245639759	3.47366927945718
44716	2022-06-05	49	0.9779623502577236	3.51040005117816
44717	2022-06-06	53	0.9854247873947619	3.537186501291367
44718	2022-06-07	55	0.9940318185538808	3.5680814765565194
44719	2022-06-08	56	1.0033203524092973	3.6014227086733093
44720	2022-06-09	57	1.0122170971259807	3.633357611996054
44721	2022-06-10	60	1.0185711132254693	3.656165380040451
44722	2022-06-11	61	1.0293220145112012	3.6947557863211213
