country	FLAI_time	t1	t2	s_hat	s_var	alpha_count_t1	alpha_count_t2	wt_count_t1	wt_count_t2	tmin	tmax	x_wt	x_alpha	x_voc
JAPAN	44222	01/12/2021	02/11/2021	0.065	2.73e-05	67	167	6347.0	2275.0	44207	44333	0.953472178167225	0.03107295941818464	0.0154548624145904
JAPAN	44229	01/19/2021	02/18/2021	0.059	1.81e-05	108	192	5803.0	1792.0	44207	44333	0.9390053314564055	0.04591702710467916	0.015077641438915317
JAPAN	44236	01/26/2021	02/25/2021	0.056	1.18e-05	145	277	4623.0	1663.0	44207	44333	0.9250008360488444	0.06075053520746856	0.014248628743687021
JAPAN	44243	02/02/2021	03/04/2021	0.058	1.07e-05	167	469	3416.0	1667.0	44207	44333	0.8995325955454702	0.08275008895374072	0.017717315500789116
JAPAN	44250	02/09/2021	03/11/2021	0.069	9.6e-06	166	855	2486.0	1620.0	44207	44333	0.8609191290821545	0.11663683339952696	0.022444037518318527
JAPAN	44257	02/16/2021	03/18/2021	0.097	8.9e-06	180	1713	1890.0	990.0	44207	44333	0.8070418762048972	0.1665693477533735	0.02638877604172929
CANADA	44221	01/11/2021	02/10/2021	0.083	1.97e-05	62	487	5768.0	3705.0	44206	44311	0.9566500103347594	0.02718133513929602	0.016168654525944598
CANADA	44228	01/18/2021	02/17/2021	0.09	1.42e-05	96	857	5696.0	3484.0	44206	44311	0.9307566724337157	0.05319938593394277	0.01604394163234149
CANADA	44235	01/25/2021	02/24/2021	0.096	1.01e-05	132	1423	4963.0	3004.0	44206	44311	0.8879592717748314	0.0949729470277481	0.017067781197420542
CANADA	44242	02/01/2021	03/03/2021	0.1	6.1e-06	230	2264	4232.0	2103.0	44206	44311	0.8278066249983629	0.15272422300777888	0.019469151993858236
CANADA	44249	02/08/2021	03/10/2021	0.129	4.7e-06	414	3586	3797.0	682.0	44206	44311	0.7528274371083142	0.2253335653600425	0.021838997531643256
GERMANY	44197	12/18/2020	01/17/2021	0.072	0.0001006	14	494	675.0	2851.0	44175	44297	0.9274807887779717	0.06480578356004965	0.007713427661978661
GERMANY	44204	12/25/2020	01/24/2021	0.067	5.88e-05	22	997	602.0	3722.0	44175	44297	0.8987939375664458	0.09598158704637336	0.005224475387180877
GERMANY	44211	01/01/2021	01/31/2021	0.069	2.5e-05	54	1964	794.0	3707.0	44175	44297	0.8728273480835551	0.12355260718252557	0.003620044733919317
GERMANY	44218	01/08/2021	02/07/2021	0.082	8.9e-06	158	3475	1394.0	2621.0	44175	44297	0.8298349884176037	0.16596985037421821	0.004195161208178061
GERMANY	44225	01/15/2021	02/14/2021	0.111	4.7e-06	394	5058	2514.0	1141.0	44175	44297	0.7520120570532624	0.24127999685460122	0.00670794609213643
CA	44208	12/29/2020	01/28/2021	0.037	1.91e-05	88	233	4998.0	4394.0	44193	44315	0.5344285688549464	0.011548555452379686	0.4540228756926739
CA	44215	01/05/2021	02/04/2021	0.045	1.44e-05	124	291	6047.0	3639.0	44193	44315	0.5066618203967574	0.014329841841052236	0.4790083377621903
CA	44222	01/12/2021	02/11/2021	0.057	1.06e-05	148	394	6837.0	3298.0	44193	44315	0.4683443526083785	0.021978318905142954	0.5096773284864786
CA	44229	01/19/2021	02/18/2021	0.063	9.3e-06	166	507	6075.0	2784.0	44193	44315	0.44741111149578794	0.03173045354528484	0.5208584349589273
CA	44236	01/26/2021	02/25/2021	0.066	8e-06	216	673	4773.0	2079.0	44193	44315	0.42938076155867466	0.04327914342346663	0.5273400950178587
CA	44243	02/02/2021	03/04/2021	0.073	6.6e-06	272	918	3748.0	1438.0	44193	44315	0.41088012183048017	0.06013573027728467	0.5289841478922351
CA	44250	02/09/2021	03/11/2021	0.084	5.3e-06	359	1257	3427.0	963.0	44193	44315	0.3783491507831501	0.08628615561568138	0.5353646936011685
CA	44257	02/16/2021	03/18/2021	0.11	6.6e-06	474	1663	2942.0	387.0	44193	44315	0.3369636127923228	0.12362770544485312	0.5394086817628241
SPAIN	44189	12/10/2020	01/09/2021	0.133	0.0001186	11	559	909.0	884.0	44174	44283	0.8584176056574798	0.13433593507396366	0.007246459268556521
SPAIN	44196	12/17/2020	01/16/2021	0.077	2.14e-05	58	721	968.0	1213.0	44174	44283	0.7680080085094521	0.22613340043221397	0.005858591058333973
SPAIN	44203	12/24/2020	01/23/2021	0.043	1.09e-05	143	876	883.0	1482.0	44174	44283	0.7156946109243161	0.2763702360458188	0.007935153029865138
SPAIN	44210	12/31/2020	01/30/2021	0.021	7.2e-06	284	952	758.0	1370.0	44174	44283	0.7193560686946738	0.2709561789850428	0.00968775232028335
SPAIN	44217	01/07/2021	02/06/2021	0.022	6.1e-06	503	1102	818.0	924.0	44174	44283	0.7214118056907062	0.26644306988005356	0.012145124429240262
SPAIN	44224	01/14/2021	02/13/2021	0.06	6.7e-06	676	1276	1106.0	341.0	44174	44283	0.70081046853879	0.2819385930361559	0.01725093842505404
NETHERLANDS	44188	12/09/2020	01/08/2021	0.102	0.0001249	11	290	947.0	1216.0	44173	44294	0.9384023551271383	0.056092561334709856	0.005505083538151823
NETHERLANDS	44195	12/16/2020	01/15/2021	0.085	4.07e-05	31	423	1155.0	1247.0	44173	44294	0.8804131106687951	0.10612388561325106	0.013463003717953809
NETHERLANDS	44202	12/23/2020	01/22/2021	0.072	2.06e-05	72	578	1267.0	1199.0	44173	44294	0.8233511825046982	0.15240805522662668	0.024240762268675137
NETHERLANDS	44209	12/30/2020	01/29/2021	0.055	1.04e-05	162	728	1305.0	1133.0	44173	44294	0.781953337879361	0.19115314219773172	0.026893519922907227
NETHERLANDS	44216	01/06/2021	02/05/2021	0.057	7.5e-06	262	941	1228.0	788.0	44173	44294	0.738442821736272	0.23294393460381882	0.02861324365990922
NETHERLANDS	44223	01/13/2021	02/12/2021	0.123	1.54e-05	380	1308	1237.0	106.0	44173	44294	0.7023934212434141	0.26787558432704495	0.02973099442954097
NY	44214	01/04/2021	02/03/2021	0.061	3.05e-05	44	232	4026.0	3397.0	44199	44325	0.9240946572847135	0.018509986017841647	0.05739535669744483
NY	44221	01/11/2021	02/10/2021	0.066	2.34e-05	57	354	3982.0	3405.0	44199	44325	0.897440530585054	0.033338074117946974	0.069221395296999
NY	44228	01/18/2021	02/17/2021	0.069	1.94e-05	68	513	3593.0	3378.0	44199	44325	0.8712938586730359	0.05273102194404535	0.07597511938291876
NY	44235	01/25/2021	02/24/2021	0.06	1.24e-05	117	663	3341.0	3125.0	44199	44325	0.8433288358044473	0.07529856816668586	0.08137259602886686
NY	44242	02/01/2021	03/03/2021	0.052	7.5e-06	203	847	3369.0	2954.0	44199	44325	0.8116790817790445	0.10269631948955348	0.08562459873140206
NY	44249	02/08/2021	03/10/2021	0.052	5.1e-06	315	1153	3425.0	2669.0	44199	44325	0.7841756056874314	0.13248001795843095	0.08334437635413766
NY	44256	02/15/2021	03/17/2021	0.055	4.1e-06	466	1637	3390.0	2306.0	44199	44325	0.758220028283728	0.162936820155838	0.07884315156043398
NY	44263	02/22/2021	03/24/2021	0.062	3.7e-06	621	2169	3204.0	1748.0	44199	44325	0.7228626510786733	0.20792239062587342	0.06921495829545327
NY	44270	03/01/2021	03/31/2021	0.072	3e-06	786	2637	3003.0	1164.0	44199	44325	0.6723778030531188	0.2677740977305714	0.05984809921630979
NY	44277	03/08/2021	04/07/2021	0.08	3.5e-06	1046	2725	2772.0	646.0	44199	44325	0.6154402241138659	0.3278838696198836	0.05667590626625052
NY	44284	03/15/2021	04/14/2021	0.101	7.5e-06	1484	2435	2411.0	190.0	44199	44325	0.5646486598263145	0.38188137144431866	0.053469968729366824
DENMARK	44193	12/14/2020	01/13/2021	0.082	1.2e-05	110	1039	10366.0	8317.0	44178	44329	0.9664090321643273	0.03295068805299581	0.0006402797826769169
DENMARK	44200	12/21/2020	01/20/2021	0.085	6.3e-06	185	1408	10559.0	6221.0	44178	44329	0.9420960979120505	0.05693865477948967	0.0009652473084598157
DENMARK	44207	12/28/2020	01/27/2021	0.091	4.1e-06	327	1843	10163.0	3762.0	44178	44329	0.9049573185176195	0.09362084530458431	0.0014218361777961763
DENMARK	44214	01/04/2021	02/03/2021	0.115	3.2e-06	579	2556	9855.0	1385.0	44178	44329	0.8519775486305785	0.14589128522118433	0.0021311661482371624
USA	44211	01/01/2021	01/31/2021	0.062	3.8e-06	325	1840	26828.0	23564.0	44196	44310	0.7824599130364767	0.019643618237683493	0.19789646872583985
USA	44218	01/08/2021	02/07/2021	0.066	2.7e-06	504	2569	30889.0	22064.0	44196	44310	0.7600279140033479	0.03190706737298752	0.20806501862366458
USA	44225	01/15/2021	02/14/2021	0.068	1.8e-06	735	3800	30631.0	20571.0	44196	44310	0.7432307738607218	0.05071314063743443	0.2060560855018438
USA	44232	01/22/2021	02/21/2021	0.068	1.2e-06	1111	5723	27394.0	18089.0	44196	44310	0.7222845585608679	0.07162183550170728	0.2060936059374248
USA	44239	01/29/2021	02/28/2021	0.074	9e-07	1660	8871	24262.0	13961.0	44196	44310	0.6910035342551998	0.10157207970484387	0.20742438603995633
USA	44246	02/05/2021	03/07/2021	0.089	7e-07	2333	13738	22394.0	9115.0	44196	44310	0.6511544215321917	0.14651947445967478	0.2023261040081335
USA	44253	02/12/2021	03/14/2021	0.124	8e-07	3385	20334	21063.0	3115.0	44196	44310	0.5906219990705106	0.21458925557072842	0.19478874535876098
