country	FLAI_time	t1	t2	s_hat	s_var	ba1_count_t1	ba1_count_t2	ba2_count_t1	ba2_count_t2	tmin	tmax	x_ba1	x_ba2
BELGIUM	44578	01/03/2022	02/02/2022	0.095	3.44e-05	3092	4319	33	780	44563	44682	0.91362460447855	0.05066552679449128
BELGIUM	44585	01/10/2022	02/09/2022	0.083	1.49e-05	3828	4068	90	1155	44563	44682	0.8957095660383677	0.08642489415417354
BELGIUM	44592	01/17/2022	02/16/2022	0.07	6.7e-06	4149	3707	210	1526	44563	44682	0.845829495886568	0.1412995036211551
BELGIUM	44599	01/24/2022	02/23/2022	0.064	4.4e-06	4329	3042	387	1847	44563	44682	0.7778878459430987	0.20910170377872328
BELGIUM	44606	01/31/2022	03/02/2022	0.062	3e-06	4388	2185	676	2178	44563	44682	0.7093205876266906	0.27691475926523057
BELGIUM	44613	02/07/2022	03/09/2022	0.065	2.6e-06	4126	1392	1047	2442	44563	44682	0.6269566726729591	0.3579723230229007
BELGIUM	44620	02/14/2022	03/16/2022	0.074	3e-06	3848	810	1424	2776	44563	44682	0.5131014482292842	0.47436161722485864
BELGIUM	44627	02/21/2022	03/23/2022	0.084	3.7e-06	3259	452	1754	3022	44563	44682	0.38002404552299834	0.6110000363611541
BELGIUM	44634	02/28/2022	03/30/2022	0.089	6.2e-06	2434	245	2089	3086	44563	44682	0.243139877942407	0.7529027935385612
BELGIUM	44641	03/07/2022	04/06/2022	0.088	9.6e-06	1604	152	2370	3097	44563	44682	0.14102616006189456	0.8574550411163154
BELGIUM	44648	03/14/2022	04/13/2022	0.079	1.2e-05	952	96	2667	2868	44563	44682	0.0795085372942144	0.9187862556049451
BELGIUM	44655	03/21/2022	04/20/2022	0.069	1.99e-05	538	62	2985	2723	44563	44682	0.04950357643404153	0.9479983705156934
BELGIUM	44662	03/28/2022	04/27/2022	0.064	3.73e-05	288	35	3063	2489	44563	44682	0.034115509954335814	0.9622862117740525
CA	44600	01/25/2022	02/24/2022	0.069	6.4e-06	21629	13534	222	1115	44585	44685	0.967556787660868	0.03138999842977317
CA	44607	02/01/2022	03/03/2022	0.071	3.6e-06	21933	7970	426	1316	44585	44685	0.9533123902661618	0.046006841979480066
CA	44614	02/08/2022	03/10/2022	0.085	2.7e-06	22108	4330	676	1686	44585	44685	0.9288230631121117	0.07055417479293227
CA	44621	02/15/2022	03/17/2022	0.101	2.1e-06	20015	2631	913	2513	44585	44685	0.8704825052977156	0.12873619839466133
CA	44628	02/22/2022	03/24/2022	0.112	2.1e-06	15218	1774	1070	3611	44585	44685	0.7447683181050684	0.2543669882466844
CA	44635	03/01/2022	03/31/2022	0.113	2.1e-06	9443	1312	1254	5219	44585	44685	0.5408292976674349	0.45832402245800913
CA	44642	03/08/2022	04/07/2022	0.106	2.4e-06	5133	940	1540	6710	44585	44685	0.35248414742642925	0.6467683573276454
