country	FLAI_time	t1	t2	s_hat	s_var	bq11_count_t1	bq11_count_t2	ba45_count_t1	ba45_count_t2	tmin	tmax	x_bq11	x_ba45
CA	44831	09/13/2022	10/13/2022	0.091	1.33e-05	106	845	10217	5362	44816	44983	0.03150625578665857	0.7903008756078511
CA	44838	09/20/2022	10/20/2022	0.089	6.4e-06	199	1382	9742	4720	44816	44983	0.05670425210884204	0.7397342241679029
CA	44845	09/27/2022	10/27/2022	0.089	4.5e-06	306	2235	8434	4294	44816	44983	0.09693080185293196	0.6741234944802015
CA	44852	10/04/2022	11/03/2022	0.084	2.9e-06	491	3465	7029	3945	44816	44983	0.15917979173451985	0.5911932997477928
CA	44859	10/11/2022	11/10/2022	0.078	2.4e-06	745	4907	5682	3570	44816	44983	0.23680595523463088	0.4929948484470612
CA	44866	10/18/2022	11/17/2022	0.073	1.6e-06	1198	6916	4850	3151	44816	44983	0.3192165571954463	0.38949821389130684
CA	44873	10/25/2022	11/24/2022	0.067	1.3e-06	1955	9185	4417	2797	44816	44983	0.3937782604124639	0.305358216192522
CA	44880	11/01/2022	12/01/2022	0.061	1.2e-06	3072	10796	4028	2272	44816	44983	0.47322160468590196	0.23009422286142148
CA	44887	11/08/2022	12/08/2022	0.057	1.2e-06	4485	11573	3704	1753	44816	44983	0.542039692272906	0.1743054001690127
CA	44894	11/15/2022	12/15/2022	0.054	1.6e-06	6246	11559	3246	1190	44816	44983	0.5975366302551198	0.13229587053641256
CA	44901	11/22/2022	12/22/2022	0.05	1.9e-06	8583	11062	2916	834	44816	44983	0.6368640072722943	0.10118738329790092
CA	44908	11/29/2022	12/29/2022	0.044	2.5e-06	10414	9775	2428	603	44816	44983	0.670251690385579	0.07313078550016151
CA	44915	12/06/2022	01/05/2023	0.038	3.5e-06	11445	7682	1905	406	44816	44983	0.6888716396168343	0.05379700667060692
CA	44922	12/13/2022	01/12/2023	0.033	5.7e-06	11584	5135	1339	221	44816	44983	0.689352029280573	0.043697075257831425
CA	44929	12/20/2022	01/19/2023	0.032	1.26e-05	11301	3447	916	107	44816	44983	0.6688858307357787	0.03605813017568867
CA	44936	12/27/2022	01/26/2023	0.024	1.57e-05	10204	2538	664	80	44816	44983	0.6255119535688788	0.028157654154647167
