country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
BELGIUM	44318	04/18/2021	05/18/2021	0.043	4.55e-05	0.086	0.086	8.797374491789957e-05	0.021962285348651092	3151	3064	33	116	246.14	0.08987600149933561	0.01994792238395639	0.890176076116708
BELGIUM	44325	04/25/2021	05/25/2021	0.038	3.15e-05	0.104	0.087	0.00012491985944104893	0.02346438723073835	3210	2788	54	145	222.89	0.08858147091972424	0.025961823468634123	0.8854567056116417
BELGIUM	44332	05/02/2021	06/01/2021	0.041	2.45e-05	0.129	0.089	0.00016735393805648646	0.024792292532881167	3170	2233	69	169	196.48	0.09229375455597078	0.03195348345736253	0.8757527619866667
BELGIUM	44339	05/09/2021	06/08/2021	0.051	1.88e-05	0.159	0.09	0.0002156030933731082	0.025939634532173066	3304	1681	92	218	163.11	0.09335090451203765	0.0428655267044168	0.8637835687835456
BELGIUM	44346	05/16/2021	06/15/2021	0.073	1.58e-05	0.195	0.091	0.0002682311890123992	0.0268503991314407	3120	1070	110	330	133.27	0.09610575623813444	0.060706762213232415	0.8431874815486331
BELGIUM	44353	05/23/2021	06/22/2021	0.1	1.24e-05	0.234	0.092	0.00032685253271312083	0.02755061190916188	2903	661	137	628	93.17	0.09375586349757636	0.09516265522148391	0.8110814812809397
BELGIUM	44360	05/30/2021	06/29/2021	0.129	1.18e-05	0.272	0.092	0.00040281256018153864	0.028016502265906063	2399	367	164	1194	67.96	0.08348628476894993	0.19335876810177896	0.7231549471292711
BELGIUM	44367	06/06/2021	07/06/2021	0.143	1.26e-05	0.308	0.093	0.0005225101421319929	0.02829848997176537	1844	233	197	1796	52.98	0.05460506287678857	0.41957152698877115	0.5258234101344402
BELGIUM	44374	06/13/2021	07/13/2021	0.141	1.25e-05	0.346	0.093	0.0007354077934061252	0.028455111143006678	1232	144	287	2305	60.93	0.028717243939127834	0.7136179185010335	0.25766483755983866
BELGIUM	44381	06/20/2021	07/20/2021	0.129	1.78e-05	0.387	0.094	0.001107475413438992	0.028551323116379052	764	81	515	2604	80.59	0.02223527835323616	0.8541052436745884	0.12365947797217544
BELGIUM	44388	06/27/2021	07/27/2021	0.118	3.63e-05	0.435	0.094	0.001638742084783428	0.028615439997742763	433	36	1013	2864	100.93	0.0190956708927133	0.9173582711893492	0.06354605791793749
CA	44301	04/01/2021	05/01/2021	0.065	5.52e-05	0.233	0.091	1.678573935136593e-05	0.0016239096993024482	2362	3392	25	241	58.77	0.5238488349761707	0.0210638989793252	0.45508726604450406
CA	44308	04/08/2021	05/08/2021	0.037	2.06e-05	0.267	0.092	2.5468656076571333e-05	0.0018044562523426703	2608	3164	69	252	54.54	0.47115155809143067	0.030585239377544007	0.49826320253102535
CA	44315	04/15/2021	05/15/2021	0.03	1.4e-05	0.302	0.092	3.5964525741338664e-05	0.0019781708261223446	2817	2543	124	277	46.19	0.43598085172275536	0.037154686369572566	0.5268644619076721
CA	44322	04/22/2021	05/22/2021	0.038	9.9e-06	0.335	0.092	4.7664789595091435e-05	0.0021343231701281278	3172	1897	188	354	40.5	0.4268313360182139	0.041323969264895795	0.5318446947168903
