country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
ITALY	44547	12/03/2021	01/02/2022	0.164	2.37e-05	0.736	0.492	0.018	0.235	0.018	0.001	52	2298	4150	1324	666.2	0.781356247926311	0.2180969967076705
ITALY	44554	12/10/2021	01/09/2022	0.133	6.4e-06	0.739	0.455	0.021	0.283	0.021	0.004	295	2527	4302	678	1168.69	0.5783737729683269	0.4212017281024697
ITALY	44561	12/17/2021	01/16/2022	0.112	5.6e-06	0.742	0.415	0.025	0.332	0.025	0.01	874	2289	3715	335	1789.74	0.39565083346657026	0.6041055940906139
ITALY	44568	12/24/2021	01/23/2022	0.102	8.1e-06	0.746	0.365	0.029	0.382	0.029	0.02	1697	2401	2590	173	2354.54	0.22489491820795646	0.7750723706776129
ITALY	44575	12/31/2021	01/30/2022	0.094	1.33e-05	0.751	0.307	0.032	0.435	0.032	0.035	2196	2157	1623	95	2672.49	0.14059023743231946	0.8594097363221336
ITALY	44582	01/07/2022	02/06/2022	0.083	2.47e-05	0.756	0.258	0.035	0.487	0.035	0.05	2514	1808	796	48	2521.96	0.07247324759195034	0.9275267524080513
ITALY	44589	01/14/2022	02/13/2022	0.071	4.61e-05	0.762	0.216	0.036	0.532	0.036	0.066	2354	1290	425	28	2152.2	0.04558019574168712	0.9544197990866085
ITALY	44596	01/21/2022	02/20/2022	0.059	0.0001025	0.769	0.189	0.037	0.567	0.037	0.078	2362	934	200	14	1661.78	0.027735544426329094	0.9722342330891756
BELGIUM	44540	11/26/2021	12/26/2021	0.146	2.85e-05	0.754	0.517	0.069	0.236	0.069	0.001	40	1001	3855	1209	1026.59	0.8807111289581405	0.1192592056793335
BELGIUM	44547	12/03/2021	01/02/2022	0.123	9.9e-06	0.756	0.46	0.074	0.287	0.074	0.002	170	1147	3651	617	847.6	0.7665290478435632	0.23321116039782694
BELGIUM	44554	12/10/2021	01/09/2022	0.121	7.5e-06	0.757	0.407	0.078	0.337	0.078	0.004	396	1369	3244	301	908.84	0.5755499004997383	0.4240169482574878
BELGIUM	44561	12/17/2021	01/16/2022	0.131	1.35e-05	0.758	0.382	0.081	0.391	0.081	0.009	671	1569	2501	116	1233.95	0.37730812547490084	0.6221483522370614
BELGIUM	44568	12/24/2021	01/23/2022	0.137	2.64e-05	0.76	0.313	0.084	0.441	0.084	0.017	951	1933	1456	49	1909.51	0.20100124234914085	0.7987056378564978
BELGIUM	44575	12/31/2021	01/30/2022	0.14	5.29e-05	0.761	0.253	0.086	0.486	0.086	0.032	1096	2233	748	23	2768.91	0.08066478524197682	0.9193282153386082
GERMANY	44544	11/30/2021	12/30/2021	0.144	5.7e-06	0.694	0.412	0.034	0.269	0.034	0.001	216	8432	17681	9283	521.92	0.8979646162675077	0.10203538373243333
GERMANY	44551	12/07/2021	01/06/2022	0.136	2.1e-06	0.699	0.344	0.036	0.325	0.036	0.001	675	12543	18304	5715	479.93	0.7501642222139118	0.24983577778599902
GERMANY	44558	12/14/2021	01/13/2022	0.131	1.2e-06	0.705	0.321	0.039	0.374	0.039	0.002	1691	15831	17576	3246	490.52	0.5552098067384829	0.444790193261571
GERMANY	44565	12/21/2021	01/20/2022	0.125	1.1e-06	0.711	0.3	0.04	0.413	0.04	0.004	4279	19376	14725	1581	606.58	0.33997441521100213	0.6600255847889883
GERMANY	44572	12/28/2021	01/27/2022	0.129	1.8e-06	0.717	0.266	0.041	0.447	0.041	0.008	7428	24085	10507	720	909.36	0.18738913969920892	0.8126108603006702
GERMANY	44579	01/04/2022	02/03/2022	0.133	4.1e-06	0.724	0.235	0.042	0.479	0.042	0.014	11310	27812	6605	303	1277.78	0.0858970177824554	0.9141029822174345
FRANCE	44544	11/30/2021	12/30/2021	0.161	9.5e-06	0.717	0.484	0.037	0.226	0.037	0.001	119	4527	10183	3129	942.42	0.8285435757700189	0.17103426167360866
FRANCE	44551	12/07/2021	01/06/2022	0.141	3.5e-06	0.725	0.432	0.042	0.273	0.042	0.004	437	5309	9699	1693	1480.07	0.6357501622829697	0.36391523579485296
FRANCE	44558	12/14/2021	01/13/2022	0.13	2.9e-06	0.733	0.408	0.048	0.32	0.048	0.012	1382	5645	8016	673	2306.99	0.43542560861309454	0.5644174239734734
FRANCE	44565	12/21/2021	01/20/2022	0.125	4.4e-06	0.74	0.381	0.053	0.362	0.053	0.025	2865	6445	5704	302	3233.1	0.26291705094231993	0.7369429597798679
